modelo,acuracia,precisao_macro,revocacao_macro,f1_macro,auc_ovr_macro,tempo_treino_s
k-NN,0.8810,0.8995,0.8810,0.8731,0.9847,0.0022
Árvore de Decisão,0.9524,0.9583,0.9524,0.9521,0.9634,0.0018
MLP,0.9048,0.9190,0.9048,0.9007,0.9371,0.0124
